"Pt22.baseline"	"Pt38.baseline"	"Pt23.baseline"	"Pt20.baseline"	"Pt27A.baseline"	"Pt29.baseline"	"Pt13.baseline"	"Pt1.baseline"	"Pt32.baseline"	"Pt14.baseline"	"Pt2.baseline"	"Pt6.baseline"	"Pt9.baseline"
"CFP"	2.26491619562673	4.0742827810594	1.69012875121162	1.94682067493464	1.05838923468351	1.39952933000344	1.07701050801378	1.58289074649805	0.942980596477782	0.773870611118822	2.99556682703032	1.01117643587497	1.69988028792099
"PLEK"	5.32110552425915	6.40570311115709	4.27374339088849	5.5724501250394	4.18313314191025	4.60567507425061	4.47647566059866	3.9226450526059	1.97692080804241	3.99547547373918	4.23351230941271	3.14677983978441	3.61683404650427
"CLEC10A"	3.67746877761676	3.24861528721742	0.986421493738629	3.36089026564507	1.87169976600961	3.38191597048422	3.15387260624572	3.37559206888818	2.03494814795988	1.02326599945689	1.9858337417893	0.495759110455062	2.89451512931446
"LILRB1"	3.78383901740436	4.49357048382608	2.58513561373949	3.31484731203166	3.34849518000102	3.18616535833667	3.61085358241691	1.64737207803304	1.47928748133686	2.57644595000138	2.49810914450544	1.9903958211892	1.95881484162991
"SPN"	2.20590387213549	3.99440774906159	1.24043035093619	2.68745827077147	2.08302950867017	1.61619534937941	1.95707324543022	1.48429541377622	1.01373380037595	0.727673923193084	1.27084884135567	0.442678148222288	1.99537778263153
"GIMAP7"	5.29911275156939	5.34641090146729	4.44377570739529	5.67478970623906	3.98216307325455	4.84527174839662	4.50939815245637	4.49181462394895	2.95438617517562	3.35961744996069	3.36469778724402	3.34676404452453	3.96417680425325
"CYTH4"	3.96639816504701	4.60167274865683	3.58410865353392	5.07403867710672	3.63036469706373	3.73657240619327	3.56417693332919	2.85294367274278	2.24802166520555	3.2043747287341	2.46981175629918	2.83859180441834	3.14672689895429
"FLI1"	4.45268108723665	4.69141691326666	3.37035472045882	3.56953969946334	2.74118758886938	3.07359404484247	3.33476990709563	3.11368383207399	2.6997825873798	3.62253214961235	2.85315333036672	2.97110389606193	2.6256971553611
"GPR65"	3.21471699716939	2.7643058106923	1.99790476810126	2.66098222306633	2.15172733200207	2.59209699134354	2.70594805251082	1.37273762730281	0.800056239536408	1.51209538158616	2.29181864971221	1.86172514959529	1.42913386954133
"MPEG1"	5.79910803430212	5.61726321444103	3.74472083877745	5.45468916963012	4.13960046458551	5.32142667123325	4.27595685676648	3.90173095887124	2.11405379618496	3.85652761864297	3.86167751441195	3.81848759237989	3.57984991879374
"PIK3R5"	2.93498631528987	2.74084339166059	3.10029313001851	2.8435980021398	1.97270919436215	2.43142639750879	2.20285649744258	1.70224306915459	1.27385600934762	1.52670736344898	1.66812593411832	2.01869826084675	1.45801183294249
"TREML1"	0.404841555673019	1.90047076703757	0.90878447618562	0.826800244207584	0.642205264064948	0.431303632832105	0.514115188737859	0.376873234420674	0.384157037613808	0.181843209157848	0.370009119693358	0.609881168832854	0.563799999093636
"CD84"	3.66437474796457	3.77452352959023	2.61933670656412	3.06505352362232	2.42801237636966	2.72684102383856	2.72915791936571	2.33842726736609	2.01177828205258	1.78197653050849	2.29742768806356	2.60546944323699	1.17202019609547
"CD1B"	0.324345180013615	0.298782640024054	0.0418590454973851	0.658850812077536	0.0178922701058198	0.36262698456681	0.385591726524443	1.16466079296584	0	0.013093740390373	0.602109063518391	0.0173074384263386	0.492604384494683
"FCRL6"	0.649557060345151	0.319357809481323	0.233575810494761	2.67956454747524	0.596759623686028	0.556457373909587	0.604086035286702	0.574833450749628	0.285950190929061	0.610896092837619	0.604523044284365	0.169194492237124	0.666383033187839
"LY86"	4.71526191605375	6.51272466318197	5.27570549751475	4.52492246576037	3.86606228532002	3.80771039953743	4.35454031631403	2.91792625437307	3.11429705421168	3.44235104011489	4.07464243793449	4.01413655097114	2.75095373882044
"TNFRSF9"	1.32585265335356	3.45491942664195	1.11159892792762	2.39366331016713	0.982696839403806	1.72314130999255	2.17727680627966	0.843264326459201	0.557579679278132	0.988580718104602	0.734032356409637	0.105769651262655	0.629482056231555
"SAMSN1"	4.10718149826684	4.00385405672862	3.90893296724454	4.70743920288504	3.30887486679526	3.82270975635107	3.91931624392648	2.70228629529151	1.32493154284568	3.04768669884489	3.17057647158985	3.05838403915566	2.91075568344861
"NCF4"	4.41572486985975	5.57678815941885	4.51367075541114	4.89016941176254	3.18826323213033	3.27805613662825	3.90301416070289	3.25283495098321	3.89231330287487	3.27786352607743	2.47744549348809	2.79684171250419	3.37093425652483
"GIMAP1"	2.98455016101986	2.92692168921672	2.42486566886569	3.01759592895938	2.1588637215414	2.50124804706721	2.4749888730698	2.1772018465423	1.57290906587056	1.49861851640622	1.60354682767486	1.86240774777662	1.85183297759486
"HLA.DOA"	0	0	0	0	0	0	0	0	0	0	0	0	0
"RNASE6"	5.78103966203584	6.00688144778126	5.38367146430921	5.62780087690104	5.04257211330647	5.82941831016994	5.40763487173564	4.04829722682574	3.94058962841475	3.83777172249495	4.68237665494979	4.45504440791745	3.77794567069515
"LCP2"	5.30683274401131	4.8275091166947	5.93305915328688	5.33654047892369	4.8269399320423	4.4937401891106	4.79972197299933	3.71560238672532	2.05273931652391	3.55079602853356	3.93792813234481	5.84844392247628	4.76737142171291
"SELPLG"	4.6287881736955	4.64554603830472	4.08901926339121	5.00294999830185	3.0900090713491	3.53930772678125	4.1762709049063	3.28985216684855	2.56749920667703	2.86702762095445	3.11778811676681	3.77515592076381	3.05266281455249
"P2RY13"	3.20152095018292	3.4994377299815	2.11093780134635	2.22331751049793	2.515163655256	3.08761134633162	2.24980786558101	1.96915785944355	0.791261470433482	1.85393179204085	2.63613039472373	2.72044483625173	1.29503236365659
"CCR8"	0.792926964884396	1.1587054103161	0.597758078425014	0.51334975378949	0.234491510447831	0.874506234047474	1.41091904384902	1.07337124882525	0.160806626320293	0.190956136521046	0.37188444283922	0.0194968984255142	0.319461864997132
"CD4"	5.66646262702274	5.79891628682751	4.88954411799138	5.43994056202703	5.30139559150378	5.14976134318849	5.47737619506542	4.71391846972335	3.47656314722924	4.34584342235272	4.87702517681984	4.12412544858323	4.16227046965983
"DOK2"	4.53915260595473	4.14134286493174	4.12368688663131	5.32180906763655	3.11773742536925	4.11405046359842	3.87901463608754	3.41375247772996	2.83180429409261	3.60600982861865	2.56861952454573	2.42000398456506	3.37642583803965
"TNFAIP8L2"	3.55914302797132	4.28449932718468	3.51319889246674	3.96196127566624	2.50720095210052	3.1043391761411	3.46700291566299	2.46945753119219	2.21290234975475	2.24661938326953	2.49653137640177	2.47664868458303	2.54305657405966
"PIK3R6"	1.35602827728556	1.36461165065711	1.3948406183448	1.43754735528778	0.886868890163221	1.69450582335477	1.4332399040422	0.699578283047393	0.344334260898799	1.09830501083225	0.538392645225059	0.500613419819335	0.953140057203459
"P2RY12"	0.858127048170255	1.50483392088894	1.05554621847781	0.941823723044433	1.32705784395407	2.0742810681931	1.98761556041498	0.899035995597332	0.045808071792656	0.543628516186815	2.09442188510909	1.68033335959309	0.572302287117042
"RGS1"	6.38966231143434	6.9321084286617	6.18488922444327	4.29112095830017	4.37302172437071	3.55745297947141	6.68624137907207	7.85091815960055	3.40546690523749	3.51331766233327	5.61821662730675	6.48992821940518	5.38844787631711
"GNGT2"	1.76901423128694	2.99318885348603	2.46140675818144	2.02592355504676	1.37005823716226	1.69555514932344	1.98896456518017	0.941718950540041	0.915863512090019	2.96638247511724	1.47072426662012	1.0162495501599	1.07176266930009
"RGS18"	2.76700639310382	1.43960186263467	1.88721525295943	1.84499819627914	1.49957039370591	2.38764101586771	2.24803077634031	0.962046999865506	1.80604766045698	1.18802105141695	2.36745633870734	2.35850035281246	1.10169377309234
"LAPTM5"	8.46980662912042	9.26039268329617	7.86257537147784	8.0343175254748	7.63905123609409	7.02460779932221	8.49625461006128	6.64697984723368	5.96472207016909	6.92698381691566	6.85453181902786	7.54256373869917	6.23053928016357
"LCNL1"	0.07377047487542	0.999741012995381	0.623435674083549	0.264098001273821	0.0656734965936748	0.055021590013953	0.0386254615045102	0.0330136497836077	0	0.0396735309957789	0	0.00986904248811144	0.359746609052743
"BHLHE22"	2.62885523286985	0.562781174029521	0.577065736828318	0.718877999360002	0.374318946862883	0.64286558388381	0.500083585383977	1.22352449266366	0.357282864108376	0.563839038925889	0.417918927950003	0.258289763726023	0.504827312147863
"SIGLEC14"	1.47561930765396	2.91847973942804	2.0662166587763	1.86806048711808	1.24841035581764	0.942450696927999	0.945551147828015	0.478760625603942	0.594917297312273	1.6222627158033	1.2523853805282	1.14217160688615	0.488431714822561
"CETP"	4.02950589259178	4.67794228215706	1.26070919291128	0.922140748518095	0.56900298182861	0.779670299395423	1.52473319977126	0.740634027803372	0.818115940703156	1.81609380425289	2.98664848251173	0.399165076880091	1.72360006156526
"TMEM71"	1.73537486757973	1.44373924602935	1.50257501928081	1.19003007887655	2.2340551994712	1.32193963640152	1.63975773648418	0.852866191548698	0.681031801648417	1.01343081496516	2.90446579314037	3.08942696347225	1.01906492448665
"HLA.DQB2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"TNFRSF8"	0.710599056346514	1.48767156221484	0.610392500056627	1.10061440604582	0.526235613638637	0.292271710548184	0.882897332517632	0.652497508691148	0.550818926025968	0.507982844136841	0.284721402124839	0.13309467231061	0.535422951720142
"LAMP3"	2.24115069731225	3.85302753944858	2.11826336585766	2.09928510375371	1.14278264213302	4.81788926185975	1.48949926365724	2.498367044486	0.859263528003476	1.08446231204105	1.02953204189812	0.668262569925245	1.36268028104685
"CD101"	1.04900337261104	0.848032973480138	0.789965821447324	0.206823237090167	0.849776735109344	1.17875287885864	0.814225139553538	0.315009099883956	0.738803282355275	0.237328756481544	0.593341818196392	0.25541975867265	0.436312178857696
"C3"	6.91969165480011	7.73782869874842	4.995959309016	4.95488026491696	6.16178693199864	4.74117302419378	4.27033457658862	7.41496423556107	2.07855177051729	5.9615087322651	10.0578631466463	6.00505521789372	5.78273486438452
"PDE4DIP"	3.61245276434321	3.24416400861376	4.98882099797403	3.81500151556053	2.22195748627705	2.43770846836538	3.57197405460827	3.63713491084374	4.56836050555426	4.99807361826097	3.22023010825914	3.46015802941344	3.09629727895163
"MAP10"	1.24559605775845	0.905303913018977	0.338719341961042	0.548447968920139	0.257443965266924	0.334798790992809	1.3426912716709	0.401314808385581	1.49633962708121	0.206735108479744	0.326798482220062	0.354817724892687	1.54604988895338
"OLR1"	2.91442866650335	0.11656291401569	4.50213325524051	1.4272789817886	2.18392949753416	0.425945313367537	3.06184530707107	1.02486998295522	0.476013513555963	1.26941621792774	3.95830910414378	2.72377260178443	1.1853971967405
"OSCAR"	2.70599558978915	1.08636937331212	3.30058502029254	2.81131894354929	2.14684743832805	1.63014216493049	2.79969141176676	1.6911365873599	1.75071368473541	2.1680306217542	1.39208382467083	1.26375857718693	1.55440712204842
"LILRA2"	2.08507787825891	0.586094091527152	2.66412781178465	1.81789744583121	1.68180230570292	0.845331069736709	1.07669932183164	0.856669437078443	0.51222385191997	0.659028987778002	1.75288771700973	1.35300704937275	0.752684375065177
"PRAM1"	1.84147805075852	0.695965315148618	2.21575468938806	1.23106677287279	1.63325914621458	0.577016415127731	2.0602220879586	0.497327247111587	0.876934543266011	0.519821660655541	1.15529265235619	0.463564392177437	0.787939324798397
"PTCRA"	0.832551421998778	3.51509425229897	3.15735097793523	1.4739219550546	0.33940023939695	0.751266606506749	0.261330418657204	0.156054963565644	0	0.458723212630611	1.35407408770614	0.203040743520222	0.439595480096759
"TREM2"	4.66526484671343	0.820707530321837	6.42977076945889	4.33362051650259	4.34096454398234	3.04629372820525	5.22153685563731	3.06668251135218	2.70411501483413	2.73076927645571	4.21752543026463	4.86714280486509	2.80383147756117
"DPEP2"	2.09280787216119	2.50981996663223	2.63421105464109	2.1125883821003	0.883946851980072	1.34979553063309	1.65536098855199	1.27503089350182	0.996902095445588	0.754313729786681	1.66936925150728	0.950263473442489	1.42481999444652
"APOC1"	10.6257773237987	7.47135006337852	10.811551306466	8.75080243706303	6.74156136523259	9.00939616384236	9.26163893810102	5.77508610785093	5.43202068224912	6.74614478265189	12.455070307288	9.73406348006324	8.51762608695071
"AGRP"	0.0341740118316384	0.181141997664354	0.437073232278597	0.0828320037606468	0.0436970505865699	0.835401861547768	0.0345078174219624	0.0295212288640516	0.248561552466137	0.0899650528841088	0.0582248391120474	0	0.0395850336945015
