"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"TLL1"	1.01438028995182	0.404435042050193	0.325872796074359	0.111549387325541	0.191411046058598	0.50337010826905	0.0474180544634039	0.205992114072644	0.206004246135227	0.401935136846968	0.94771290571586	0.520682224520995	0.165797869089056	0.49617802653171	0.370690475255038
"SLC5A4"	0.856150696279567	0.0588315479544869	1.27122844249402	2.37806626114563	0.0139238483694152	0.203078341869705	0.327617239445915	2.29406341177807	0.330979387571597	0.0572212250818736	0.287988759594375	0.0990766792514933	4.72503763027037	0.100623084552325	3.74812843014012
"MS4A2"	1.59902493973592	0.29325275642788	0.141465751491153	0.212173983130358	0.00623717625810995	0.14858143878182	0.0424189512290089	0.0143592925221347	0.0384677885527425	0.0782683837904083	1.35687342651091	0.438888439233165	0.483976189586603	0.615121041924638	0.217976381310146
"RCVRN"	0.137475063030674	0.344379146798791	0.153687970495157	0.253712193786197	0	0	0	0.0515115961041775	0.347699668356804	0.0908862124448497	0.452510567792589	0.0557827491410614	0.409277417031274	0.181067683876798	0.491478075120402
"GPR182"	0.184384405948387	0.250288563009997	0.0925815970591576	0.286712035097472	0.0865665983832582	0	0	0.0629045484670025	0.0816661741058199	0.759666333914733	0.0153187914470949	0.0514061412651686	0.0754452111253423	0.0765483552565688	0.0261001028183674
"KCNS2"	0.0776060201119063	0	0.0203288791219859	0.00739035973862078	0	0	0.0255376535213222	0	0.0767143013416323	0	0.179542897492644	0.0108266629341518	0.0552379347236242	0.133670967669905	0.0387287648162941
"RAB23"	3.60971950887704	2.28507073084457	3.46970497700515	3.05344416083742	2.72891529884681	2.31291199036407	2.40133146681604	3.01619320086138	2.67788028445243	1.62016409643972	3.33780598437862	3.00417416447632	3.35216952088267	3.90318291811272	2.5042784267981
"KCNK3"	0.500728641971811	0.207360017815578	0.776623685896858	0.364085475563765	0.0226788689344797	0.23044282764752	0.193523231569644	0.0312556490132773	0.041231485490898	0.118528373857422	0.207434364007616	0.734888205335794	0.16030194220161	0.381927872295202	0.185074906876789
"MUSK"	0.00882712063867452	0.0504071050945514	0.0110591862004024	0.0891687611480007	0.0191977547627827	0.092142880786438	0	0.205107199029419	0	0.686968388748159	0.0208807069544454	0	0.573219874434694	0.52852981266247	0
"MAGI2"	1.41582085031341	2.56431109327188	1.97096774050874	1.80288389050509	1.30690381340582	1.50616013995291	1.7317284946299	1.39122055768613	1.21920570084854	0.651911826462489	1.17162637797571	0.878408325661718	1.10979179890994	0.306618639968123	1.16913932024298
"LDB2"	4.3388664977725	2.65585782812741	2.07807521440631	2.6236667337189	1.19604042955292	2.96871563090729	1.73769973911797	2.50763482512732	1.46969325684522	1.8160139087259	2.77849456339384	2.58584107487835	2.62781225580835	2.36146940427953	3.43583724973322
"HGF"	2.46401733926471	1.68095216393243	2.98081865575886	5.62371179422913	0.722169585763853	2.36515219515416	1.79408517834693	2.12027396370999	1.14352729771582	0.515738688040524	1.25158276852369	1.95983876504083	3.75918247120282	1.43463356476458	1.268748769822
"CNR1"	0.615237832758883	2.44341702008794	0.530854819707468	0.0849262896964069	0.0848455583765265	0.0216268321633484	0.225526052957498	0.203917783135361	0.109578134174928	1.03198090754276	0.433782577226431	0.0577248866587578	1.20403426400004	0.0989242645059296	0.323637540968325
"HPGDS"	1.73849764388979	1.3941436801116	0.601997383281567	0.945270585516352	1.08167367222142	0.186480273564594	1.70796866275568	1.95053560148791	0.269345596772562	0.120349684078665	2.31557057752526	0.762643490828171	0.831918171004084	1.36018726512468	1.83867953465735
"ERICH4"	0.0765979495530656	0.0425466370333083	0.154340557696984	0.0975863245356961	0.0265844355550084	0	0	0.0170482608828565	0	0	0.040074472954126	0	0.077694266261121	0.0171810631139849	0.132282812187495
"GLDN"	1.14700379872578	0.812332280189626	3.11501825642407	0.403764534776795	0.230261433338269	0.619354785115407	0.468755856664927	0.231743893723542	0.423579246616096	0.177940747602816	0.893830864894934	0.359412654989262	0.595732315751948	0.158572286207827	0.575873323465338
"C3orf49"	0.0196637741336179	0	0.0219875661691656	0	0.0348390109056657	0	0	0.0181502275890427	0.0613296705293996	0	0.0138814826956827	0	0	0.0349591316190396	0
"PTGDR2"	0.374204303797983	0.166293177989437	0.0694510649800035	0.162596508203234	0.347921293950815	0.606859104394091	0.253137310485107	0.223775797059198	0.585491391945349	0.489642605574831	0.258064185523627	0.0471702346990544	0.125815660010182	0.288622564519375	0.370186046374702
"COL6A6"	1.08314867958745	0.682162902354891	0.567760570338463	0.00202269696884389	0.108802096585036	0.596839754437785	0.427887712185162	0.147440866436894	0.0860843921910556	0	1.98950962699891	0.3438586118303	0.0159681954320033	0.433470671916273	0.362593883656498
"ALAS2"	0.10283077417694	0.233742065789347	0	0.113549821666533	0.0139337073190901	0.589668582329243	0.265955908840611	0.905392878083799	0.122765406104422	0.0554283550977991	0.406858805292222	0.107834005916176	0.0119921954167622	0.027681551039179	1.62199088810502
"KLF17"	0.316046662243785	0.235244242881493	0	0.0274698100073456	0.235468515523097	0	0.0545934568068833	0.0882745276959863	0.0513551164538517	0.084457141532928	0.273419209483788	0.0834802634212235	0.484580541411072	0.0904545006014012	0.0406899833651255
"OVCH1"	0.0468130899409022	0	0	0.0343849825650935	0.0614836204672414	0.054067300515158	0.0642999319345958	0	0	0	0.0172998547942667	0.00787735459073194	0.00621209525071405	0	0.012823366248593
"NPY5R"	0.286223507394183	0.351459288707305	0.0548639628809361	0.0342258592517571	0	0.288536931474783	0.0810918389820367	0	0	0.179536528104658	0.0166364463461879	0	0.563993723875239	0.0517886654514356	0
