"Pt20.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt14.baseline"	"Pt10.baseline"	"Pt32.baseline"
"IDO1"	0.966988605459018	1.00670653020767	0.462326939934391	0.624909168895164	0.0613962490113839	0.228061689394765	0.589625684642314	0.143786686238081	0.272024809541039	0.022164569492794	0.727745200910587
"CCL5"	5.3445920111527	3.9467338465682	2.89774693030584	3.14640727436115	2.7930246923693	2.05299693241661	2.69796799837017	2.17463178630301	1.66049179034674	0.398131909143041	3.61283824396556
"PRF1"	2.00562574613347	0.991191879237125	0.54890271265414	0.853955937410541	0.38272074380621	0.33792506656283	0.446139570453633	0.351427732823331	0.347651183824912	0.0459079267603745	0.166305649145088
"CD274"	0.348724229823323	0.373118503846677	0.161245421866417	0.110668649161941	0.0652397678695526	0.108161535594147	0.194584191489633	0.072812206236519	0.87667690125405	0.00774792614444238	0.0139494218534083
"IFNL1"	0.144244051386556	0.0500026250348274	0	0	0	0.00859914967259892	0.0429321762104723	0.0221626439427832	0.0469926959707672	0	0.0697369377210194
"CXCR6"	1.76023844825179	0.582510822985051	0.54696213249738	0.517174327358921	0.132655095678636	0.406745657003141	0.396735660912004	0.255575994716029	0.227228692743967	0.0287748126169462	0.215196827675602
"KLRC1"	0.0682105957251092	0.0624425239501719	0.128071153713467	0.0329600225232279	0.00206658739872886	0.0392376685771161	0.0373452393427669	0.065097863994188	0.0218109853730746	0.00185082944155315	0.0133945002733608
"PDCD1LG2"	0.407759582493236	0.164186217389121	0.309454307553079	0.239866513304167	0.0446588438839748	0.182453502540519	0.300594220447004	0.108728828291604	0.862563924250944	0.0488084302279599	0.066523417361589
"IL2RA"	0.274778838559955	0.829078142813865	0.461433990318011	0.199542983752645	0.0515218845359503	0.34458958188851	0.431717972715109	0.154337128318075	0.629233744675817	0.0410376748315967	0.245082133650294
"HLA.DRB5"	0	0	0	0	0	0	0	0	0	0	0
"IL12RB1"	1.20921502096181	1.06973405706056	0.39700277827049	0.426949481713981	0.282407434377731	0.133365453114436	0.483112274189449	0.23264962885614	0.158936195671558	0.020971666694968	0.11913859916432
"IL12RB2"	1.43982595758265	0.155299478652652	0.0899670794331979	0.882826193222908	0.361155892305472	0.617104318000084	0.103874574517967	0.808733159733944	0.1080090908739	0.224618246895244	0.0312808166620939
"CD70"	0.283122165632989	1.24727780664672	1.13953390315918	0.139923813622155	0.28025285577023	0.0813754998220843	0.138451162753896	0.194975265323301	0.382887089069111	2.56772290219782	0.101333982771113
"CD80"	0.532034350601361	0.771511848907383	0.35565722150855	0.440275269871372	0.0810330260106008	0.213489730678723	0.407348256064921	0.078778915208069	0.446985279690013	0.0475377984119251	0.0247916619342613
"FBXO39"	0	0.0121257457415675	0.00592947991877957	0.0189439541330928	0	0.0170956263490692	0.0213530375437585	0.00565847900644363	0.00229715021727639	0.108029008362232	0
"AF165138.7"	0	0	0	0	0	0	0	0	0	0	0
"PRKAG3"	0	0	0	0.0025461893020091	0.11655289178885	0.00756280679411403	0	0.000601564953918175	0.000490913184798276	0.00136772904491986	0
"MURC"	0	0	0	0	0	0	0	0	0	0	0
"SPTB"	0.0382458834933442	0.00534789866094196	0.0039303148333301	0.0183096504850776	0.327226658598522	0.0120651972210446	0.0240557435637878	0.0121011811703946	0.0185976495395002	0.00598579612469818	0.0197103256143778
"KLHL30"	0.00383794991938593	0.00253502952010658	0.00141809004443577	0.0852132573360791	0.352647136660501	0.0301044076822333	0.0390867555678997	0.0101756449356035	0.00667058880684821	0.00716125855694498	0
"AKAP6"	0.0636546459491977	0.426081887390852	2.14559618976442	0.287707346973593	0.0801380594890583	0.0876801316258821	0.766843123173256	0.287872640046776	0.0310039467667441	0.613572620267119	0.0792045552807264
"HSPB3"	0.00212883783822728	0	0	0.00129560153390857	0.193035514520024	0	0	0	0.00237379972201834	0.00606211306304665	0
"NT5C1A"	0	0	0	0.0799939206870865	0.129701775872619	0	0.023172146874189	0.0126911529117531	0	0.0122155898954534	0
"MYH1"	0.00377328544712279	0	0.000427648882527129	0.00061537664979629	2.48058439053327	0	0.00129525524177943	0.0061149848736483	0.0030446595980446	0	0.00407756245021331
"PPP1R27"	0.0125568338674113	0	0	0.0080708131546083	3.79389985462657	0	0.00417266725967942	0	0	0.00755171534133886	0.0338611209271617
"KCNA7"	0.00969327881346923	0.0943304899028542	0.00601216913498345	0.034169989555897	0.103061537662065	0.000964573458517163	0.0058017864461993	0.00672490886864003	0.0111162448427059	0.0271328224239427	0.143401620963338
"FABP3"	1.01827940401235	0.354733998552384	0.628415629642418	2.42886137590083	1.84039193624338	0.921734787756966	1.14696241106122	0.476631335328418	0.752064457613196	1.10450931052553	0.700811611019476
"MEF2C"	0.33109598271642	1.37559748182039	0.946211144387082	0.426341168158122	0.184057233838	0.649001566481308	1.0258227370223	0.413721355042354	0.139779796489334	0.509975015511689	0.372701767521442
"MAP3K7CL"	0.621271542850138	0.703850422864585	1.24930462871387	1.62357908004322	0.10696494706797	0.782643871897364	1.29645000410034	1.12979253140581	0.971178772965893	1.2657994608566	0.917160607944427
"CAPN3"	6.31116743767264	4.02843523024367	1.15879170919958	4.92307870883366	5.6745505035274	5.19847278951773	3.47147378018915	3.27803677505432	0.507823164741345	1.02085770264477	1.02276426997283
"CAV1"	3.67601234231796	2.01310984648226	4.09241412471184	3.28350606193856	3.47782094571952	4.86288364187145	4.33809927764672	4.59715218443347	5.01685860347368	4.24504242663958	1.83676802902749
"GNG11"	1.6724786209291	1.04639402707387	2.53237339079628	2.85601063520194	2.98293793360525	1.77911449915555	2.53153620117731	2.27938455650929	2.73423792331644	1.31555371327921	3.21634225135351
"KIAA0408"	0.0208236625867967	1.15128523371383e-06	0.0340569318829417	0.156539647880918	0.059746310739056	0.026557776371176	0.0307328525518384	0.129399473966968	0.00461908983928518	0.0291277158559656	0.000103453897418835
"DLC1"	1.23468686158719	1.1367465749	2.09296341212819	1.06680912245526	0.618053728207582	1.11606534179999	2.05625954141852	2.39993918191332	1.22463776021583	0.81339742443001	1.58565525081099
"CLDN5"	1.21119188218967	2.23171552208537	1.02354231533402	1.41033741149941	0.753730095741151	1.46008266831263	1.86377119324641	1.93249422171391	1.26084833127045	0.643964236771246	0.704198591509408
"AQP1"	6.58158353108054	6.46559890366821	12.393954816172	7.13673161745025	6.41504265432872	8.78970791758259	8.55940220449906	7.93212677908949	6.39710408079114	8.29972092825876	6.15845826234214
"FMO2"	0.0748368027726112	0.0586026451265575	0.0572244562216735	0.00323123651386487	0.0541091030146762	0.0945720548941003	0.179447276696635	0.0854456053408237	0.0528565706038507	0.00593514290842335	0.00108823683490745
"S1PR1"	0.624600037450843	1.86791508363223	0.703602718238265	1.29600697299529	0.285870981915075	1.28302123444464	1.67664284449996	0.520014461629368	0.68231828932144	0.545268835819876	0.948542331798497
"CLEC1A"	0.0715951136472374	0.547740418196564	0.114824103252048	0.205037998734553	0.0291415596224346	0.199544166109141	0.267237502043689	0.164089538765362	0.0991340901138034	0.0664700259312536	0.743706071676241
