"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"HTRA4"	-1.12849390911885	-1.12849390911885	0.281767130317211	-1.12849390911885	1.95209996809765	0.166110350112758	-1.12849390911885	1.66443500097662	-0.454609018529889	-0.0195207524366555	-1.12849390911885	0.279088399300071	0.775012277440102	0.88485916815296	0.423705633235049	-0.310478611071596
"C1QA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL2RA"	-0.311982302885282	-0.311982302885282	-0.311982302885282	0.752319488261581	-0.311982302885282	-0.311982302885282	3.61543275213236	-0.311982302885282	-0.311982302885282	-0.311982302885282	-0.311982302885282	-0.311982302885282	-0.311982302885282	-0.311982302885282	-0.311982302885282	-0.311982302885282
"LCP2"	-0.288619064630167	3.7041226285827	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	-0.288619064630167	0.336544276239636
"LILRB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD86"	-0.313912015029357	3.60511910225988	-0.313912015029357	0.78964910815112	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357	-0.313912015029357
"DBH"	-0.366928255747299	-0.878693707450128	0.398549863213676	-0.878693707450128	-0.346024596260928	1.43357339511011	-0.327079724307963	-0.556332058981487	-0.417790878514929	-0.878693707450128	2.69864194264456	-0.395695601965616	1.17438182026336	0.0400680610795071	0.179410863267523	-0.878693707450128
"MFRP"	-0.841968854063787	-0.841968854063787	0.173351527730073	-0.841968854063787	-0.00199388122453903	1.911783580674	-0.841968854063787	-0.333594027289523	2.70640804681127	-0.0433124251753548	-0.841968854063787	-0.0803077659917015	0.392205642952177	-0.113247451216562	-0.00199682254798012	-0.399452154402922
"DNTT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C19orf47"	0.295478101022506	2.2497660036429	0.615279096533568	-0.244316821804349	-1.22253115296156	-1.82414442655637	-0.651950923405602	1.73459277843792	0.436089227916408	0.239569953257296	-0.720912289309573	-0.146577301678554	-0.494143669033568	-0.345042804137147	0.0705781908758063	0.00826603720032017
"CPA5"	2.74202960524936	-0.228669736483397	-0.189003082284228	1.07684691579072	0.884108120386206	-0.93584130693497	-0.93584130693497	-0.191116329783689	0.125579047335475	-0.640568366919149	-0.318732204148308	0.985145999076388	-0.630576460259901	0.128321719780404	-0.93584130693497	-0.93584130693497
"GPHA2"	1.02806874482606	3.09138046978166	-0.474209402131388	-0.474209402131388	0.309177773659821	1.26188583730911	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388	-0.474209402131388
"CXCL11"	0.72171457259136	0.851750515417689	0.444523263962677	1.28507933448136	-0.35181741825184	-0.679552034088307	1.41726870884146	1.94644836317891	-1.05330373945383	-0.595142519478897	-0.634254172601751	-1.19952352228809	0.0659582877434229	-0.191872731643324	-1.25947491010188	-0.76780199830896
"IFNG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GBP5"	-0.250362460532065	3.61559140162977	-0.607187790558583	-0.195686418347506	-0.235828555084123	-0.503353377719572	-0.222659315009194	-0.607187790558583	-0.12701877479655	-0.254050085364971	-0.420934407505236	0.546609822555402	-0.0622210097037312	-0.125773091174703	-0.235829852044541	-0.314108295785809
"IDO1"	0.502498672917757	2.19818976137914	-0.83279630939359	-0.83279630939359	0.00857017323627353	2.21486046591849	0.152616589469444	0.807258299285123	-0.83279630939359	-0.712340044443495	-0.83279630939359	-0.276620644544479	-0.117396122561062	-0.508141619072781	-0.105513984616468	-0.83279630939359
"CXCL9"	-0.874161456608504	-0.874161456608504	1.07809263565851	0.916492887536495	-0.874161456608504	0.0270383650001168	0.799111450488041	-0.874161456608504	-0.874161456608504	2.17151462953211	-0.874161456608504	-0.138133264921279	1.4973288743939	-0.170025796045797	-0.062289585382562	-0.874161456608504
"CXCL10"	1.07309549116339	1.38195588058082	0.598128826756441	0.600093249813975	-0.260436958589964	-0.175294486904766	1.62613887287799	1.35226081145342	-1.20673809794867	-1.13579518684329	-0.915060406412184	-1.09272670489663	0.0691339893512057	0.00818743224706005	-0.866692974249346	-1.05624973839947
"GZMB"	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"FASLG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GZMH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LAG3"	0.144736943833087	2.82015785407987	-0.430521362834213	-1.1487383684335	0.99023871144742	0.133902509735772	-0.600881994678319	1.29337250150187	-0.635158147012648	0.0720257937390163	-0.272171412675968	-0.186845977831854	-0.637071558107854	-0.448634136315441	-1.16560485120705	0.0711934947598125
"NKG7"	1.19800552754926	-0.889960629511388	-0.889960629511388	-0.480254059112112	0.209374388107138	0.728290480637336	0.62116570789906	1.7183423101773	-0.889960629511388	1.84450876305812	-0.889960629511388	-0.889960629511388	-0.889960629511388	-0.251374975807957	-0.889960629511388	0.641666264071574
"CD274"	-0.396646114596431	-1.25218287915158	-1.53805521037522	-0.785762809621211	-0.412423502242622	-0.835998360653048	-0.647808250611952	-1.19257798377462	1.1488200041173	1.09876125443834	0.709240668390454	0.728085059853093	1.41754801983803	1.34512398335707	0.388705875994805	0.225170245037598
"GZMA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCL5"	-0.367656336448267	1.14759861825139	-0.0645986517604336	0.653414413866079	0.397513661914501	0.370215354039866	1.23966329631539	2.58420996199532	-0.875976173542506	-0.875976173542506	-0.770282680926582	-0.827360135313766	-0.875976173542506	-0.695622196711382	-0.480512326452389	-0.558654458142207
"CXCR6"	-0.435835731992962	-1.46605840656247	-1.13425830005294	-0.13998472127259	-0.524902893927531	-0.280634590449897	0.168912699765282	-1.13519836554877	0.235947281923634	1.41731152068443	0.23720129695472	1.91547053235343	-0.159808982720722	-0.876910040671266	0.487137381424561	1.69161132009309
"PRF1"	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"FAM26F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TBX21"	-0.464774732653228	2.11034093898263	-0.464774732653228	-0.464774732653228	-0.464774732653228	2.03297060279676	-0.464774732653228	-0.464774732653228	-0.464774732653228	-0.464774732653228	-0.464774732653228	-0.464774732653228	-0.464774732653228	-0.464774732653228	-0.464774732653228	1.89875998271258
"CD7"	-0.218441050789284	1.07737713489334	1.10988837782124	-0.0656849674342223	0.763660263850859	0.899088263397043	0.375689502620134	2.12598091580045	-1.71806164482465	-0.681374197448035	-1.18892777133954	-0.439283215468561	-0.648159944173449	-0.885725896934726	-0.524787433821805	0.01876166385122
"KLRC3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRC2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRC4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRC4.KLRK1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRD1"	-0.647356864609132	-1.57198638290321	0.243497101228324	0.563741682192797	1.09698746771096	2.47483509123303	0.499585079259419	-1.54558989535713	-0.560150149574357	-0.751455073428068	-0.350999245645812	-0.193432574532147	0.753372505461532	0.257875891877411	0.0340145137400077	-0.302939146653613
"XCL2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GZMM"	-0.272209448515837	-1.00370205155213	-0.0828644783728562	-0.159503137596901	-0.242266110113615	2.7320290734982	1.33930131608591	0.822408841171712	0.308281495492254	-1.00370205155213	-1.00370205155213	0.029537844519419	-0.628636957081729	-0.343322917735997	0.512052684857962	-1.00370205155213
"CD3D"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCL3"	-0.568524217684067	-0.568524217684067	-0.568524217684067	-0.568524217684067	-0.568524217684067	-0.568524217684067	-0.568524217684067	-0.568524217684067	0.245695155296359	1.21547164014258	2.23128292789554	-0.568524217684067	2.18841653199719	-0.568524217684067	0.372900139193062	-0.568524217684067
