"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"KLRB1"	1.55391337857657	0.941451316346399	1.52579252520171	0.855283311116331	0.702925858867497	1.05089060222539	0.24968270790076	0.741922299271462	0.409857102128404
"CD2"	4.50835336425677	2.63094199861239	4.06384704460608	2.41269618459037	2.72994199953533	2.52723535171944	2.27212189218583	2.96099616555276	2.36672081464659
"ZNF80"	0.089331168869647	0.0519582104762038	0.178774129992507	0.0303704460455762	0.0346090614213497	0.0234237512715102	0.0157304492540422	0.00153780770164786	0.0181909688632531
"FUT7"	0.404203360494472	0.116859700330709	2.1330398326139	0.175581112657977	0.351948603953893	0.220570395521017	0.225833742016835	0.193162833865622	0.172043303956045
"TIMD4"	1.06608972830112	0.87046349177234	3.82329075918625	2.65277562632453	1.54335934738808	0.742445211796909	0.662595592105437	1.23049684107449	2.13487000046489
"CST7"	3.37774988300562	1.29112424484569	2.19641389100765	0.841233552213006	1.53668183350953	1.28423682036763	1.3028655379932	2.48712115106718	1.04129972920179
"FCRL6"	0.311332802497658	0.0301746354458968	0.0145664660592626	0.0313195894483408	0.0323373846125611	0.0351902593941075	0.0112480785270252	0.0286407846339905	0.0343354409137028
"WIPF1"	1.12559816466982	0.614935382410366	1.82557458643113	1.88110903923196	1.70351681642439	1.24273916712617	0.989704754988111	0.446265719700608	0.566639934885802
"TMEM155"	0	0	0	0	0	0	0	0	0
"TMEM244"	0.578858627619814	0	0.728323957305624	0	0.596124366693491	0.931795919517726	0.524781117113058	0	0
"DOCK10"	1.27941618743899	0.647559821933587	1.34079663087715	1.18445075963163	1.03070951328986	1.03950077133088	0.902500475742667	0.311548580906762	1.27416460033196
"SIGLEC8"	0.144408562819116	0.0422548698451441	0.143257128218221	0.0231821943601664	0.00837629736936413	0.0663227448107832	0.400638719176656	0.0495353327760985	0.0765024652496136
"IL10RA"	3.20455047163372	2.37884529822539	3.07934715540488	1.64935642056169	2.61205369939336	2.95330384435925	2.16751322195741	1.91115589291241	2.16631194625103
"IKZF1"	0.812090913744166	0.324902695969595	1.68876325139309	0.300446054812467	0.378888853684145	0.493834636352183	0.289158674489683	0.236978632953131	0.410092186735685
"CCR5"	2.16395540666522	1.10995444919288	1.31664481560286	0.99932757057339	1.89205204885101	1.41596319187366	1.06007174097358	0.571703137861764	1.20544521379068
"SLAMF7"	2.80945308748779	1.07051775115536	1.27517617344233	1.98916078853305	0.663834893601121	1.94012602003283	1.06210534601382	0.81365599354149	1.01547178809666
"LAIR1"	1.25023095176768	1.02001509058565	1.32413620798254	0.709645637065859	1.25282485597866	1.16811618923343	1.18143472891114	0.775488525760591	1.0380474422198
"CMKLR1"	0.308609251779999	0.255749507718123	0.222597319181605	0.304111723224865	0.284538183022403	0.388562191353327	0.258161587106117	0.153542281559145	0.230527595702775
"C1QC"	11.5553688243846	10.6439555043924	9.43306347098215	9.11496357073527	10.5865525733027	11.1215511332885	11.1933273459124	11.8342952779785	10.6641450242421
"FCGR3A"	4.79250340870697	4.70116334764566	1.02166425086293	2.74404683405718	4.8698243066253	3.90365739615204	4.26651353878063	3.19742006097249	4.29628373593445
"SRGN"	3.93214890093251	3.29295072750112	3.94635781731144	2.37689691995207	4.50338429347492	3.81760486952315	3.21555669140666	2.27092827918092	3.45357697621016
"HAVCR2"	2.58263630227148	1.92954329646246	1.91551485079086	1.59823165709374	2.84331767013285	2.45899007750391	2.8931443234972	1.72626224223766	2.2209844885827
"FCGR1A"	2.08494001294641	1.56011461829318	0.443271479491103	0.541793553998381	1.72628252174487	1.04673863225208	1.66275484262986	1.53323349688865	1.63047306518854
