"Pt22.baseline"	"Pt9.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt4.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt2.baseline"
"MRGPRF"	0.824118297546122	0.35007783848109	0.769841844067764	0.293044915544746	0.232147313664545	0.382049136589797	0.256517214144439	0.612147736149301	0.0762888903104072	0.158217580735535	0.290618948868285	0.13450972500579	0.69900506910706	0.0929164732969971	0.0850841943076427	0.388716846174992	0.0812253731990393
"SLC2A4"	0.0742480573377656	0.0834668945530125	0.0213083693342054	0.0136491064259261	0.0303525514964087	0.0275654702732881	0.0359761870965975	0.0109195460510427	0.0180315047772088	0.0125693254266518	0.0700583433788636	0.186600169124733	0.0216810238924521	0.241121463016428	0.045828244520871	0.0799264863613891	0.0256702547307714
"KCNMB1"	0.575650920408408	0.155510099268261	0.160598154706899	0.203923935882167	0.106693736882554	0.253266004405578	0.117245364289375	0.156180834990811	0.0765910322206635	0.10180193366975	0.48466422798816	0.115555615038019	0.0717502771880142	0.0334271106406928	0.0877939210778199	0.136746606062963	0.139729148121652
"MYZAP"	0.462031323446626	0.383871731059278	0.235443521519855	0.142001391821443	0.0295410891309266	0.0951538051649655	0.362097716311143	0.102149652408666	0.110637095601681	0.183264303194392	0.17549155827821	0.133783532750215	0.433229404385361	0.0859191240029756	0.114575826937872	0.0685455365839589	0.139980241923436
"GSTM5"	0.309542980504381	0.199152262763904	0.170232526829269	0.117079044863809	0.154704126536281	0.168253978372081	0.0540127424588667	0.0770445881994399	0.100036431078372	0.0884152233745957	0.143595055413385	0.149955030108967	0.034327821125724	0.119684206593318	0.185149257458549	0.54129546245207	0.0842364384600357
"KIAA0408"	0.0307328525518384	0.129399473966968	0.026557776371176	0.0291277158559656	0.00437903247819226	0.0340569318829417	0.00461908983928518	0.000103453897418835	2.07033608788304e-07	0.0208236625867967	0.156539647880918	0.100074151003219	1.15128523371383e-06	4.03788301378441e-07	0.0151455723276117	0.059746310739056	0.0536725819354757
"PCOLCE2"	0.820568639413377	0.597394182716369	0.721970642560497	3.9846433597052	0.0359442512190347	1.02721374463359	0.716691478243054	0.341511856684453	0.211531056116352	0.376200165312735	1.20812112450921	0.523933890343726	0.616600776982682	0.293201783634914	0.35631174405382	1.76635425946596	0.472096126918846
"JPH2"	0.812000640783668	0.161074437546622	0.0852881305377401	0.345681106371497	0.0902321262625569	0.275033860729137	1.64731797400081	0.259267490020954	0.340570074333452	0.0957755456397478	0.483973243177363	0.190330627427656	0.0595875323794537	0.0662306165327099	0.46304562652995	1.73667781559124	0.0212450120556232
"CCDC69"	1.23722156548154	0.502394798226281	0.609140433947312	0.0878680399707857	0.11340810693422	0.45429634955816	0.632507474917811	0.187273971836669	0.206850999248655	1.18162211621133	0.48823247571789	0.563277209569839	2.11257768692451	0.276072063868506	0.302060606821127	0.277402448130093	0.536564339422255
"PLP1"	5.82155838915001	5.33614563925373	5.33720221561392	6.30867113315216	4.60308701146219	5.56153619060625	0.0771854507317971	0.138920297263627	3.75641281350795	5.67985904147227	3.82899510394578	6.38765892886994	2.41578890847012	6.65642496462836	5.3174019868484	4.4734774623649	6.90645507122289
"SRPX"	0.747093196675084	2.59843123671177	1.71908816664073	4.00023917020423	3.1605374370162	2.96267053063819	2.61998376805565	1.70493019543301	1.83204468068158	1.01749476669705	2.03089120580624	1.07034968752064	1.66401495550017	0.676900997186274	2.24481716922227	1.89504645230973	0.069279805037882
"NMUR1"	0.0119607596980196	0.0132817887433389	0.0140735762928607	0.0156993418782225	0.134202564926	0.00620877407395858	0.0139217868185068	0.0480173017482794	0.00127308476983851	0.0425997054390192	0.0325088364023441	0.0578880028217438	0.0162374899985991	0.012493327890091	0.0177861783670767	0.0203333400832992	0.0184220118676711
"ACKR1"	6.12942628786849	7.00447458266578	7.18322203061301	4.51460698056259	3.20484925323453	3.77945471853619	4.63187814261485	0.489512764663516	2.89448329904494	5.37519934633388	3.83473343799281	4.58610256859785	7.62882068429406	0.501545144254951	4.36420146471036	4.83393869402334	1.15393792055351
"CMA1"	0.33999068560769	0.178164078137997	0.561398830741741	0.00215642027039535	0.0417738394108765	0.0135910104473153	0.38202379572733	0	0	0.0103291665305038	0.00313083367850022	0	0	0	0.0188325897075655	0	0.0191608602687936
"DDR2"	1.3417928356643	0.902051767735262	1.74605781065147	1.65922715150567	0.853786780598934	2.45089824524398	1.17131477049643	1.52516063137743	1.04543343593496	1.10348967267752	0.91583264127708	0.425624932883101	0.496554178712425	2.05294830389832	0.535153432815169	0.365701967997401	2.84711208835629
"NEXN"	5.45660037689872	2.17164256106725	3.61253556646805	2.5772656091359	2.81935638932024	4.19543607806846	4.545346694576	4.04879683085165	1.50842184589995	2.82847487304101	3.30850023397463	2.79072714207833	5.20681540680333	1.51232106119691	1.76717320200011	3.21980770158521	2.45064545941957
"IGSF10"	0.154309236422357	0.0684182595063453	0.284108664762249	0.0237562597466366	0.0127401305525833	0.0388097914188818	0.171489383001013	0.168970847276693	0.0696860761811152	0.110261677805974	0.0262587495754448	0.0716008245813215	0.119453736662637	0.0461225545037091	0.0395963528724045	0.096660283300618	0.0208206329386666
"CDO1"	0.833660326357467	0.295727046213928	0.291963481998478	0.303870935469678	0.307207010707955	0.337962529378172	0.300105120457432	0.651570886364309	0.121222195095499	1.85364041133624	0.0973829232259576	0.112925064455875	0.143230235651773	0.0503974122953241	0.0438990730908248	0.144219650036841	3.93200774495218
"MUSTN1"	0.690775796065527	0.144615190937234	0.100641662895474	0.0513570312146663	0.0721086707720069	0.0248850972643001	0.0718383187572966	0.139024686738892	0.0102970086926196	0.0734142559892007	0.128312720003244	0.0601223038347828	0.135019822693625	0.00841392338557112	0.30460086073619	1.52343906567302	0.0380960481747784
"PALMD"	0.510527838591937	0.235140198127765	0.296449931018034	0.131243385058035	0.0657892317503018	0.138427916844383	0.188412227018809	0.0242348498096384	0.0822737753145262	0.0674851642447913	0.170591106982845	0.0660361880941078	0.0613275365354106	0.0486625440044593	0.0880240982677907	0.0408936669223659	0.248447892744717
