"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"SSC5D"	1.77028358267573	1.03675760620441	0.336623137604988	0.495131699299199	0.484165275865554	2.87755153922668	0.128688534012282	0.711231144930674	0.166695811879462	0.205038693783586	0.958836541456001	1.62347165093799	2.4020652500836	0.628016092176856	1.65604910119455
"PRDM6"	0.0166550501754364	0.002446873445611	0.022852589643812	0.0136653548881611	0.00659086109718867	0.00898277015104643	0.000651298245709884	0.0129475355864294	0	0.0056879204223388	0.0165243041261524	0.0203876635353766	0.0122344474841954	0.00435738028259717	0.0103158559584353
"CLDN5"	1.86377119324641	1.93249422171391	0.876953695256789	0.643964236771246	0.39901446409084	0.704198591509408	0.23623314435652	0.460618727782006	1.21119188218967	2.23171552208537	1.46008266831263	0.538116803271252	1.02354231533402	1.26084833127045	1.41033741149941
"RSPO2"	0.000375595250866628	0	0	0.00791219713863929	0.00081484314111479	0.206541466334678	0.0022969081391673	0.000695278322707589	0.0018685723726626	0.00145126582353464	0.000354660513177782	0	0.00432014600754762	0.00543741004511977	0.00146695664832647
"ZNF385D"	0.237570689224336	0.0634418308773211	0.0529024588556888	0.111743847300677	0.0138826858113195	0.0810941275939281	0.00873703573628852	0.0532419839135107	0.0302488194794288	0.117066526254989	0.34584435644504	0.0518400017172938	0.0710217908319851	0.0592351272278896	0.0845953540403293
"TLL1"	0.0956480166117574	0.0306040138844054	0.0251894433118999	0.0078295465145102	0.0149839877190883	0.0379692502039849	0.00345477442323447	0.0157690080783874	0.0151869500654793	0.0290849426151482	0.0901064917732092	0.0433381020031855	0.0118049803379805	0.0410265524468137	0.0288432993241051
"SLC5A4"	0.331027395580181	0.018725520986368	0.551324086952163	1.23039211949351	0.00486881457527045	0.0645147535440818	0.11989202331751	1.21685151390482	0.116656948056418	0.0174212963590191	0.101141141589474	0.0336907428882261	3.19099550445833	0.0342821480777348	2.33937810319801
"MS4A2"	0.487838044178598	0.0622084404039983	0.0301602313339738	0.0449423230155886	0.00135637664373582	0.0291940046955651	0.00908447746157663	0.00304552158244233	0.00790831959354559	0.0149634179045443	0.400127255967907	0.1024598470748	0.110143578454392	0.150865473085535	0.0470747923510026
"RCVRN"	0.00436296657531342	0.0115718903512341	0.00507230946199019	0.00844041465466193	0	0	0	0.00169191455036841	0.0121691060867514	0.00267817468444819	0.0165313800708203	0.00179787747142727	0.0143213710164411	0.00609893273105799	0.0180818260321236
"GPR182"	0.0131289797717009	0.0179587106603127	0.00661618352317967	0.0212683583456739	0.00653617625307063	0	0	0.00458694457151898	0.00576904712583735	0.0618998979471276	0.00106593849531444	0.00365939986637637	0.00520472029640185	0.00550238037777906	0.00181038762759657
"KCNS2"	0.00957627914359089	0	0.00254939299182776	0.000899169204759019	0	0	0.00331145838024264	0	0.00970882380604361	0	0.0235966467164621	0.00136671817652721	0.00679630802034959	0.0175433835729577	0.00484382286485247
"RAB23"	0.897687487527075	0.372003003941565	0.850179972503488	0.647494383500263	0.560438350805156	0.367927147694461	0.435273330416486	0.661588422630294	0.512562993339986	0.202461148639843	0.786134807099564	0.645884086263572	0.775830629864055	1.08701807357782	0.453296811566904
"KCNK3"	0.110410747071131	0.0415448369157879	0.190777026537342	0.0778331082222438	0.00478997596986001	0.0448207409371983	0.0417781262415676	0.00643952276005775	0.00820252075930339	0.0221649576678859	0.0434937087877507	0.180081463818	0.0322642234270116	0.0850916653887966	0.0383126530741019
