"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt27B.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"LGI1"	0.00453202039814792	0	0.0294472396376102	0	0.002092852275438	0.011289701353108	0	0.0166134057947899	0	0	0	0.00839617027700719	0.0138284181924963	0.0033580681897139	0.00771572397006398	0.00129039095861834	0.00362511576496974
"AGT"	0.0288816364593906	0.0312165943119402	0.00658152140744205	0.0715690897687531	0.0185098672660042	0.0141594965120701	0.00114930288677526	0.00160176780069958	0.060214130520576	1.00934388942049	0.086191988738232	0.060392012388421	0.00609652755243709	0.0266012725738996	0.0237905548947986	0.0081026928050937	0.0806475274805848
"TNNT2"	0.616146730136926	1.49032153420227	0.0128253988332372	0.0319225710965505	0	0.0135982838542789	0.00593175674752482	0	0	0	0.00939063674305452	0	0	0.0205465621664765	0.114159559643702	0	0.852769159890268
"CFAP61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CELA2A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PYDC1"	0	0	0	0.00627945325163502	0	0	0	0	0.00313769330907326	0	0.00345699686323088	0	0	0.0116078234324865	0	0	3.11772047205084
"MYLK4"	0.037745053902632	0.000853565105625543	0.0182275156548815	0.015251928512163	0.0749202104708584	0.0458678856578496	0.0206920734257339	0.0307740735024378	0.0676293712825042	0.0118417153622147	0.0318212752678107	0.053709649052581	0.0323945309926582	0.0292474467713487	0.0136176631766098	0.0249804234111318	0.0543832959907033
"MUM1L1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESRRG"	0.00521176991548416	0.00392978941444221	0.00124282530896746	0.00239523506044985	0.0104727542186554	0.0319855242389087	0	0.00318420535158302	0.0162298279382644	0.0244915850739896	0.0143692458745884	0.0224991570108507	0.125399396493878	0.00254849566856799	0.0102430872053025	0.00365971102475966	0.00401099033946736
"ADGRA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
