"Pt28.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt27A.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt29.baseline"	"Pt9.baseline"	"Pt4.baseline"	"Pt7.baseline"
"IL1RN"	4.65029089669977	0.158079430328107	0.573378705474344	0.932243325378211	0.286809248955029	0.495273264437159	1.37689594169318	0.104754070384313	0.609343003712483	1.14732475339267	0.361348141080739	0.486266751029973	1.34712883726341	0.208680324261853	0.150070481802639	0.420405521337838	0.796747861087938
"PITX1"	3.20466685373539	0.00430834924696242	0.0141296814427013	0.599227501727423	0.00484866957740212	0	0.0961322776580449	0.0297109138648791	0	0.0290786731109274	0.00736506412980446	0.0565794937349251	0.00292888533741432	0.0869628901170566	0.00212914209365	0.0156850776166421	0.144470257895942
"LAD1"	4.76071030585122	0.0602926096182508	0.0456302428610888	0.492786093487861	0.490873900340991	0.0277703252839511	0.00508173639925078	0.0196860183865782	0.0856444819277753	0.0487748252137581	0.022883480671922	0.306732610143145	0.277032546540159	0.280889285048508	0.391010289640584	0.0607694796548782	0.00511905647412985
"ANXA1"	12.529275038947	11.3646702228959	9.19917686325797	10.1810733928283	10.1523084658263	11.0433681336929	10.3891231219709	6.87415686697816	9.30933609631809	8.24989317561753	10.474817739541	8.86742102857855	9.36967370511775	10.4663099581045	10.2151665756801	7.09107855456396	9.01047039782156
"KLK8"	5.1074253597876	0.00855218935723732	0.00346372774952926	0	0.0056085125057724	0	0	0	0	0	0.00266466183455615	0	0	0	0.147226122637105	0	0.0505528101175422
"KLK7"	5.40846825528617	0.00408143882994953	0	0.00156730921905283	0.00914318904415099	0	0	0	0.00553152807124235	0.00460462307230748	0.0110206588356881	0	0	0	0.0384661269014949	0	0.206442566060903
"CNFN"	8.76642092084196	0.432038090770689	0.171100532026799	0.678681563678107	0.500768081817736	0.286704929779749	0.0392983013311475	0.382554510536086	0.303282813168677	0.471798364911235	0.188348074911031	0.359558802238057	0.218714383549237	0.240327687434989	0.331816276651143	0.33447472641431	0.828053810916536
"KRT4"	0.100093304334279	0.00777163573887358	0	0.0062385135082459	0.0681720607880189	0.000678161965919122	0.00309253041916712	0	0.00170754630528653	0.00443554666443384	0	0	0	0.0850440469942626	0	0	0
"CALML3"	8.32136832971223	0	0.00718194897779224	0	0.0237698375563145	0	0.0419502896720839	0	0.0231139005831271	0.0164711859006696	0.219606141198486	0	0.0293412370910385	0	0.078520046766584	0	0.0987003511041007
"SPRR2F"	6.26558823699702	0	0	0	0.00272542148246636	0	0	0	0.00381325410683283	0	0.00637531075433886	0	0.00376647235114535	0	0	0	0
"MALL"	2.95824973235393	0.564880954819231	0.698602873169594	0.710659692274981	0.183733161486541	0.685357141185949	2.34858913160937	0.17206669000764	0.183075792029216	0.509229581048851	0.15027817291225	0.318786271055143	0.0943791800043621	0.985380824197099	0.559779866363764	0.0796053191648008	0.132864044007214
"SDC1"	10.4260580427976	4.04546187661565	7.38219310642981	5.91504262786583	3.68238375451131	2.85488240245806	7.81661747221638	7.92395757704089	6.69784766681061	7.36671276781663	2.5103960654338	3.75981690578891	8.07132728678413	6.95364890169481	4.76476377150813	4.64527271097293	6.61916860899044
"FABP5"	9.62470650774281	4.64723038053258	4.42923136925469	6.3571646632272	6.40835445174839	5.08392687334827	4.76460343311303	3.6524179396194	4.36431466451068	5.23007153134946	2.80054817573692	3.26848946482673	1.34352097487435	4.18654892733531	4.89233116604554	2.36368095505531	4.09444309210622
"S100A14"	6.91253754308638	0.0592696509098842	0.00489188585686248	0.06088829425686	0.0556849640276008	0.0304243528065321	0.0332579893374559	0.0249266481112797	0.0050274399104252	0.0151757019152649	0.0609597997082272	0.0805144820516269	0.280248093833718	1.35559753952817	0.600927639133336	0.00537392559340394	0.0118963822918465
"LGALS7"	8.9989256537644	0	0	0	0	0	0	0	0	0	0.60942019741653	0	0	0	2.70528633031706	0	0
"KLK13"	5.15322044777665	0.00589018667656329	0.00443520506697235	0.000813430241557949	0.00154851844281421	0.0020986024978763	0.000884189411835694	0	0.0702235810368491	0	0.0193558589036439	0	0	0.0480032360356963	0.0010579710250918	0	0.00382537825867838
"CDH3"	5.20763196894401	2.48862625811207	0.814323158496306	0.0978506721825051	0.0772731229902973	0.0795205776295688	0.0418247182298437	0.61678513287475	0.738287204050586	0.536310777114297	0.0834887189787973	0.681522191999252	0.014005400367691	0.153249097403455	0.222301470254199	1.13935076694987	4.63537523773203
"TNS4"	2.1264438873139	0.0172713322737919	0.00803941371041912	0.000867128218012027	0.00260157505796482	0.0123554513304652	0.0266310733732768	0.0110196527912767	0.0320002963345543	0.00718026452113109	0.0121179357272408	0.0352244770660294	0.00590788441457105	0.0114095948279357	0.225981493662875	0.00539490340581983	0.0023301379184274
"CLCA4"	0.423030380662541	0	0.00243284208727267	0	0	0.00110761877960945	0.000659906412153033	0	0	0	0.000934201541087289	0.00394012681532398	0	0	0.0805931048705822	0	0
"KLK6"	6.13044099140393	0.00603817770684528	0.00322321380944453	0.87088548011713	2.22709531185136	0.00611011503074255	0	0	0.00369320775404466	0.0199800455638322	0.0249426304023516	0.00705639091272927	0	0.0129783685840798	0.00662520172151591	0	1.85830080398201
