"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"
"CREB3L3"	0.0173965288632275	0.0577581529090821	0.0580831515399376	5.06019008925071	0	0	0.0186530159265664
"ABCG5"	0	0	0	3.84131399679976	0	0	0.0412874961880454
"ABCG8"	0.0197288824479774	0	0	4.38629708450739	0	0.0104788103296371	0
"SOAT2"	0.179135072536861	0.0303627776943025	0.114010205344869	0.340328684484306	1.10429639799599	0.0421084797946561	0.0114295137997448
"ALDOB"	0.114953845909776	0.152747793513332	0.0807895803498245	10.0161954299103	0	0.050379868591333	0.101574578008532
"APOB"	0.0198767634665099	0.0141791020144353	0	7.18131627488487	0	0	0
"SERPINA10"	0.0186970503464283	0	0	6.47363351160352	0	0	0
"SLC7A9"	0.0699086242675545	0.126990031096497	0.22475773775635	2.10107685061638	0.192466894101768	0.0574914468926304	0.121895938971047
"PIPOX"	0.553412606542442	0.385492885377676	0.422281448583621	5.93885974422005	1.36244183412564	0.367926228654285	0.153512487895745
"GLYCTK"	2.10052526332519	2.11050690431016	2.19687138807677	4.66934430494167	1.52215118892109	0.975877033649435	1.96546662595273
"CHST13"	0.0530911038233814	0.623791495217835	0.399675333587295	3.10745102696479	1.33977590701437	0.60746194072003	0.419559385727678
"OXT"	0.173373726243731	0.0890818244418013	0	1.85617898879707	1.00656373541749	0.207633642884018	0
"GATA5"	0.024420749422629	0.06478871473113	0	0.0665720636473556	0.0726745322117313	0	0.0531292049091728
"BAAT"	0.0663775972793031	0.852668475831198	0.221806568213614	6.67618982069458	0.0896055354207397	0.0558149498472627	0.331275840497734
"HAAO"	2.32998321509677	1.68758480219387	2.59863913890855	5.64638157989003	1.63707229402246	0.718843375697568	1.15972605108144
"CCL25"	1.23336658380286	0.035434094877247	0.815484437840076	0.0502307204629834	0	0	0.0279234016685138
"LIPC"	0.287627726645849	0.375471549391182	0.903177903891387	5.33386019744554	0	0.0351757601656802	0.107381155229185
"GATA4"	2.70790683804666	0.89851640419278	1.49451801634877	1.90226270954061	0.0529445999473224	0	1.32371881032391
"KDM8"	1.51573515628771	1.00633465190937	1.65744336459094	3.48506224298506	1.60276566349913	1.27786575723488	0.932645541061956
"ADH6"	0.0304602472198709	0.0820477787085088	0.0368200764658934	6.45470644018082	0	0	0.0203209841770015
"ITPKA"	0.156901245063218	0.244001081951021	0.981005049286758	0.503113610150134	2.12646082004785	0.0837109654024728	0.459656136976142
"RHOJ"	3.98548221434341	3.03726096726353	2.12209618817288	3.56082498634084	4.16968453222917	4.18602507451768	4.00223894750243
"CLEC1A"	0.83891385916284	0.796820328859302	3.13529024096459	0.454104283187597	3.61896686829774	0.514976638210691	0.532216204077914
"KLF2"	4.28977177001236	3.55295000188673	7.84016106714085	3.91731717545642	5.04865470184035	3.20144802380721	2.40707533541369
"OTC"	0.0248405583626547	0	0	5.28543736100575	0	0	0
"GIMAP1"	3.01759592895938	2.50124804706721	2.92692168921672	1.60354682767486	1.57290906587056	1.55583332990037	1.4106830121307
"SOX18"	2.95536953543747	1.80291283367491	4.44597825269036	1.61801777006495	4.82975317404493	2.46603582669857	1.85054741944951
"FGL2"	5.75504645702664	5.92848758164362	4.43381408445803	5.06956039889676	1.64574315448372	4.81126293450704	6.56557813678433
"PLPPR4"	0	0	0	0	0	0	0
"MSRA"	3.97797133541656	3.03917525060874	3.79069906733682	4.72988444886215	3.61124321439543	4.61409730477418	3.77543513863735
"LRRTM2"	0.0624830313643544	0.0258644648113443	0.142338932106345	0.0333490631739011	0.792717946291535	0.0656422044429329	0.322672910311682
"TPK1"	2.05641705394948	1.68649156283667	2.54207476012763	2.46720121278321	0.495592840198345	1.52633428320365	0.916605048136323
"CLDN18"	0.0351414059073392	0.707299490249267	0.0308045868136939	0.0664265091059548	0.126291246456392	0.057038668466831	0.0792904458497178
"ENPP6"	0.140186145879116	0.138648306989428	0.218068167008027	0.0928847773210357	0.620129367342423	0.0843350169074936	0.046410035103623
"LRRC55"	0.0309434716701065	0.00555291609108211	0.207061969825824	0.870514653430543	0.0213711303172643	0.0179969261889324	0.049693004385617
"ESRRB"	0.091772601670264	0.0717906032295444	0.0656828703216975	0.0268527388781326	0.166098392206649	0.0168130647260083	0.0783335649340252
"B3GAT2"	0	0	1.85661924450696	0	1.18483885366505	1.02165952007156	0.344543337750254
